1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,20107
42,0
43,20107
44,20107
45,20107
46,20107
47,20107
48,0
49,15040
50,0
51,15040
52,0
53,0
54,23450
55,0
56,23450
57,0
58,0
59,11725
60,0
61,0
62,0
63,0
64,0
65,11725
66,11725
67,0
68,7228
69,0
70,0
71,0
72,4497
73,0
74,11725
75,0
76,0
77,11725
78,0
79,0
80,0
81,0
82,0
83,11725
84,11725
85,0
86,7228
87,0
88,0
89,0
90,4497
91,0
92,11725
93,0
94,0
95,24935
96,0
97,24935
98,0
99,0
100,18292
101,0
102,18292
103,0
104,0
105,20107
106,0
107,0
108,0
109,0
110,0
111,20107
112,20107
113,20107
114,0
115,20107
116,0
117,20107
118,0
119,11725
120,11725
121,11725
122,0
123,0
124,0
125,0
126,11725
127,1779
128,9946
129,1472
130,0
131,8474
132,0
133,0
134,20107
135,0
136,0
137,20301
138,0
139,0
140,0
141,20301
142,0
143,194
144,194
145,194
146,194
147,194
148,194
149,0
150,20107
151,20107
152,20107
153,20107
154,20107
155,20107
156,20107
157,20107
158,20107
159,20107
160,20107
161,20107
162,20107
163,0
164,20107
165,20107
166,0
167,0
